%,Origin,Offset,X,Y,,
65535,0,0.00,0.00,,

%,Stack,Offset,Stack,X,Y,
52,1,4,18.57,45.40,-180,0.00,0,R40,51R-R1206
53,1,11,30.48,1.27,90,0.00,0,R41,39k-R0402
54,1,14,36.67,29.53,0,0.00,0,R42,330k-R0402
55,1,15,16.67,74.93,90,0.00,0,R43,2k-R0402
56,1,15,17.62,84.45,-180,0.00,0,R44,2k-R0402
57,1,15,17.62,92.08,-180,0.00,0,R45,2k-R0402
58,1,15,22.70,97.16,-180,0.00,0,R46,2k-R0402
59,1,15,27.15,97.16,-180,0.00,0,R47,2k-R0402
60,1,15,32.23,91.44,-180,0.00,0,R48,2k-R0402
61,1,15,32.23,84.45,-180,0.00,0,R49,2k-R0402
62,1,15,34.13,79.06,-180,0.00,0,R50,2k-R0402
63,1,8,26.51,11.11,90,0.00,0,R51,10k-R0402
64,1,4,37.31,25.08,-180,0.00,0,R52,51R-R1206
65,1,12,18.57,8.57,-180,0.00,0,R53,100k-R0402
66,1,1,17.94,57.31,0,0.00,0,R54,10k-R0805
67,1,3,32.23,7.78,0,0.00,0,R55,51K-R0402
68,1,3,31.12,7.78,-180,0.00,0,R56,51K-R0402
69,1,7,18.57,13.81,0,0.00,0,R57,120k-R0402
70,1,7,30.96,3.33,0,0.00,0,R58,120k-R0402
71,1,7,32.23,10.79,-180,0.00,0,R59,120K-R0402
72,1,7,31.12,10.79,-180,0.00,0,R60,120K-R0402
73,1,10,20.00,8.57,-180,0.00,0,R61,3.9k-R0402
74,1,7,38.10,57.63,-180,0.00,0,R62,120K-R0402
75,1,7,30.00,7.78,0,0.00,0,R63,120K-R0402
76,1,7,9.05,58.26,0,0.00,0,R64,120k-R0402
77,1,7,19.69,1.59,0,0.00,0,R65,120k-R0402
